rgn_id,year,health,habitat
5,2015,1,mangrove
6,2015,0.378408668,mangrove
7,2015,0.855901419,mangrove
8,2015,1,mangrove
9,2015,1,mangrove
11,2015,1,mangrove
14,2015,1,mangrove
15,2015,0.95406347,mangrove
16,2015,0.68201005,mangrove
17,2015,0.828386512,mangrove
18,2015,1,mangrove
24,2015,0.676003339,mangrove
26,2015,0.955817378,mangrove
28,2015,0.698600617,mangrove
29,2015,1,mangrove
31,2015,1,mangrove
35,2015,1,mangrove
37,2015,0.714285714,mangrove
39,2015,1,mangrove
40,2015,1,mangrove
41,2015,0.758914584,mangrove
42,2015,0.835674526,mangrove
43,2015,0.983404891,mangrove
44,2015,0.367684535,mangrove
45,2015,1,mangrove
46,2015,0.960575849,mangrove
47,2015,1,mangrove
48,2015,0.087325077,mangrove
49,2015,1,mangrove
50,2015,0.386725342,mangrove
52,2015,0.582167181,mangrove
53,2015,0.250585004,mangrove
54,2015,1,mangrove
64,2015,0.582167181,mangrove
65,2015,0.884414489,mangrove
66,2015,0.767323903,mangrove
96,2015,0.94615185,mangrove
97,2015,0.995415387,mangrove
98,2015,0,mangrove
99,2015,1,mangrove
100,2015,0.100423839,mangrove
102,2015,0.84830075,mangrove
103,2015,1,mangrove
104,2015,0.964827632,mangrove
106,2015,1,mangrove
110,2015,0.803875849,mangrove
111,2015,0.551332055,mangrove
112,2015,0.668343957,mangrove
113,2015,0.493129847,mangrove
114,2015,0.780038611,mangrove
115,2015,0.540704693,mangrove
116,2015,1,mangrove
117,2015,0.264621446,mangrove
120,2015,0.611831751,mangrove
122,2015,0.873250772,mangrove
125,2015,0.296017211,mangrove
126,2015,1,mangrove
129,2015,0.631185658,mangrove
130,2015,0.592267873,mangrove
131,2015,0.744881219,mangrove
132,2015,0.636679199,mangrove
133,2015,0.400263796,mangrove
134,2015,0.802193964,mangrove
135,2015,0.878456092,mangrove
136,2015,1,mangrove
137,2015,0.737746342,mangrove
138,2015,0.589181243,mangrove
139,2015,1,mangrove
140,2015,1,mangrove
147,2015,1,mangrove
151,2015,1,mangrove
152,2015,0.087325077,mangrove
154,2015,0,mangrove
155,2015,0.873250772,mangrove
162,2015,1,mangrove
163,2015,0.838955832,mangrove
164,2015,0.64409197,mangrove
166,2015,0.822311143,mangrove
167,2015,0.32339067,mangrove
168,2015,0.710750193,mangrove
169,2015,1,mangrove
171,2015,1,mangrove
190,2015,1,mangrove
191,2015,0.41916037,mangrove
193,2015,0.976079214,mangrove
194,2015,0.741329198,mangrove
195,2015,0.185059766,mangrove
196,2015,0.855156386,mangrove
197,2015,0.734236954,mangrove
198,2015,0.822494319,mangrove
199,2015,0.359170647,mangrove
200,2015,0.553608036,mangrove
202,2015,0.716410337,mangrove
203,2015,0.694361034,mangrove
204,2015,1,mangrove
205,2015,0.953580411,mangrove
206,2015,0.777115449,mangrove
207,2015,0.702104652,mangrove
208,2015,0.390279674,mangrove
209,2015,0.611022439,mangrove
210,2015,1,mangrove
212,2015,1,mangrove
214,2015,0.523950463,mangrove
216,2015,0.696999658,mangrove
231,2015,1,mangrove
237,2015,1,mangrove
245,2015,0.5,mangrove
247,2015,0.579003229,mangrove
250,2015,0.415833701,mangrove
5,2016,1,mangrove
6,2016,0.378408668,mangrove
7,2016,0.857347198,mangrove
8,2016,1,mangrove
9,2016,1,mangrove
11,2016,1,mangrove
14,2016,1,mangrove
15,2016,0.949031178,mangrove
16,2016,0.679494513,mangrove
17,2016,0.827104676,mangrove
18,2016,1,mangrove
24,2016,0.671215779,mangrove
26,2016,0.979381443,mangrove
28,2016,0.698600617,mangrove
29,2016,1,mangrove
31,2016,1,mangrove
35,2016,1,mangrove
37,2016,0.714285714,mangrove
39,2016,1,mangrove
40,2016,1,mangrove
41,2016,0.760650237,mangrove
42,2016,0.833822176,mangrove
43,2016,0.978615581,mangrove
44,2016,0.367684535,mangrove
45,2016,1,mangrove
46,2016,1,mangrove
47,2016,1,mangrove
48,2016,0.087325077,mangrove
49,2016,1,mangrove
50,2016,0.336825298,mangrove
52,2016,0.582167181,mangrove
53,2016,0.260203418,mangrove
54,2016,1,mangrove
64,2016,0.582167181,mangrove
65,2016,0.874491185,mangrove
66,2016,0.763706888,mangrove
96,2016,0.939382464,mangrove
97,2016,0.986366156,mangrove
98,2016,0,mangrove
99,2016,1,mangrove
100,2016,0.100423839,mangrove
102,2016,0.873250772,mangrove
103,2016,1,mangrove
104,2016,0.964827632,mangrove
106,2016,1,mangrove
110,2016,0.80339071,mangrove
111,2016,0.54763184,mangrove
112,2016,0.659406705,mangrove
113,2016,0.482856309,mangrove
114,2016,0.784944514,mangrove
115,2016,0.540704693,mangrove
116,2016,1,mangrove
117,2016,0.132310723,mangrove
120,2016,0.667452819,mangrove
122,2016,0.873250772,mangrove
125,2016,0.296017211,mangrove
126,2016,1,mangrove
129,2016,0.628041955,mangrove
130,2016,0.597777342,mangrove
131,2016,0.741503073,mangrove
132,2016,0.636679199,mangrove
133,2016,0.401981667,mangrove
134,2016,0.798454132,mangrove
135,2016,0.878378401,mangrove
136,2016,1,mangrove
137,2016,0.737316169,mangrove
138,2016,0.57866015,mangrove
139,2016,1,mangrove
140,2016,1,mangrove
147,2016,1,mangrove
151,2016,1,mangrove
152,2016,0.087325077,mangrove
154,2016,0,mangrove
155,2016,0.873250772,mangrove
162,2016,1,mangrove
163,2016,0.835780375,mangrove
164,2016,0.632967757,mangrove
166,2016,0.778648605,mangrove
167,2016,0.3310676,mangrove
168,2016,0.710750193,mangrove
169,2016,1,mangrove
171,2016,1,mangrove
190,2016,1,mangrove
191,2016,0.41916037,mangrove
193,2016,0.970700495,mangrove
194,2016,0.734616374,mangrove
195,2016,0.179276648,mangrove
196,2016,0.850523524,mangrove
197,2016,0.733594858,mangrove
198,2016,0.821695005,mangrove
199,2016,0.361912408,mangrove
200,2016,0.545369821,mangrove
202,2016,0.714686816,mangrove
203,2016,0.694361034,mangrove
204,2016,1,mangrove
205,2016,0.952008402,mangrove
206,2016,0.774394638,mangrove
207,2016,0.696264594,mangrove
208,2016,0.341494715,mangrove
209,2016,0.626361914,mangrove
210,2016,0.982407118,mangrove
212,2016,1,mangrove
214,2016,0.349300309,mangrove
216,2016,0.693153196,mangrove
231,2016,1,mangrove
237,2016,1,mangrove
245,2016,0.5,mangrove
247,2016,0.574257301,mangrove
250,2016,0.415833701,mangrove
5,2017,1,mangrove
6,2017,0.407517027,mangrove
7,2017,0.85300986,mangrove
8,2017,1,mangrove
9,2017,1,mangrove
11,2017,1,mangrove
14,2017,1,mangrove
15,2017,0.949919229,mangrove
16,2017,0.681890263,mangrove
17,2017,0.825181922,mangrove
18,2017,1,mangrove
24,2017,0.669300756,mangrove
26,2017,0.974963181,mangrove
28,2017,0.698600617,mangrove
29,2017,1,mangrove
31,2017,1,mangrove
35,2017,1,mangrove
37,2017,0.714285714,mangrove
39,2017,1,mangrove
40,2017,1,mangrove
41,2017,0.762602848,mangrove
42,2017,0.835145283,mangrove
43,2017,0.991387073,mangrove
44,2017,0.367684535,mangrove
45,2017,1,mangrove
46,2017,0.960575849,mangrove
47,2017,1,mangrove
48,2017,0.087325077,mangrove
49,2017,1,mangrove
50,2017,0.345141972,mangrove
52,2017,0.582167181,mangrove
53,2017,0.264506393,mangrove
54,2017,1,mangrove
64,2017,0.582167181,mangrove
65,2017,0.870769946,mangrove
66,2017,0.765257037,mangrove
96,2017,0.943027518,mangrove
97,2017,0.995415387,mangrove
98,2017,0,mangrove
99,2017,1,mangrove
100,2017,0.100423839,mangrove
102,2017,0.873250772,mangrove
103,2017,1,mangrove
104,2017,0.958286427,mangrove
106,2017,1,mangrove
110,2017,0.815034053,mangrove
111,2017,0.577233561,mangrove
112,2017,0.661844137,mangrove
113,2017,0.493129847,mangrove
114,2017,0.799662223,mangrove
115,2017,0.540704693,mangrove
116,2017,1,mangrove
117,2017,0.132310723,mangrove
120,2017,0.667452819,mangrove
122,2017,0.873250772,mangrove
125,2017,0.296017211,mangrove
126,2017,1,mangrove
129,2017,0.629788456,mangrove
130,2017,0.599154709,mangrove
131,2017,0.736435854,mangrove
132,2017,0.636679199,mangrove
133,2017,0.40083642,mangrove
134,2017,0.796584216,mangrove
135,2017,0.884205252,mangrove
136,2017,1,mangrove
137,2017,0.730863577,mangrove
138,2017,0.589181243,mangrove
139,2017,1,mangrove
140,2017,1,mangrove
147,2017,1,mangrove
151,2017,1,mangrove
152,2017,0.087325077,mangrove
154,2017,0,mangrove
155,2017,0.93146749,mangrove
162,2017,1,mangrove
163,2017,0.834510192,mangrove
164,2017,0.639642285,mangrove
166,2017,0.771371515,mangrove
167,2017,0.329148368,mangrove
168,2017,0.706194102,mangrove
169,2017,1,mangrove
171,2017,1,mangrove
190,2017,1,mangrove
191,2017,0.41916037,mangrove
193,2017,0.966587358,mangrove
194,2017,0.733448927,mangrove
195,2017,0.179276648,mangrove
196,2017,0.851135412,mangrove
197,2017,0.732631714,mangrove
198,2017,0.821295348,mangrove
199,2017,0.363283288,mangrove
200,2017,0.545369821,mangrove
202,2017,0.708367238,mangrove
203,2017,0.696601464,mangrove
204,2017,1,mangrove
205,2017,0.956252825,mangrove
206,2017,0.775819825,mangrove
207,2017,0.69139788,mangrove
208,2017,0.341494715,mangrove
209,2017,0.626361914,mangrove
210,2017,0.982407118,mangrove
212,2017,1,mangrove
214,2017,0.174650154,mangrove
216,2017,0.691489861,mangrove
231,2017,1,mangrove
237,2017,1,mangrove
245,2017,0.5,mangrove
247,2017,0.574257301,mangrove
250,2017,0.415833701,mangrove
5,2018,1,mangrove
6,2018,0.378408668,mangrove
7,2018,0.857347198,mangrove
8,2018,1,mangrove
9,2018,1,mangrove
11,2018,1,mangrove
14,2018,1,mangrove
15,2018,0.958799745,mangrove
16,2018,0.68775985,mangrove
17,2018,0.827104676,mangrove
18,2018,1,mangrove
24,2018,0.668343244,mangrove
26,2018,0.989690722,mangrove
28,2018,0.698600617,mangrove
29,2018,1,mangrove
31,2018,1,mangrove
35,2018,1,mangrove
37,2018,0.714285714,mangrove
39,2018,1,mangrove
40,2018,1,mangrove
41,2018,0.763687631,mangrove
42,2018,0.837526876,mangrove
43,2018,0.99298351,mangrove
44,2018,0.367684535,mangrove
45,2018,1,mangrove
46,2018,0.960575849,mangrove
47,2018,1,mangrove
48,2018,0.043662539,mangrove
49,2018,1,mangrove
50,2018,0.336825298,mangrove
52,2018,0.582167181,mangrove
53,2018,0.268556252,mangrove
54,2018,1,mangrove
64,2018,0.582167181,mangrove
65,2018,0.879452837,mangrove
66,2018,0.767323903,mangrove
96,2018,0.936778854,mangrove
97,2018,0.995415387,mangrove
98,2018,0,mangrove
99,2018,1,mangrove
100,2018,0.100423839,mangrove
102,2018,0.84830075,mangrove
103,2018,1,mangrove
104,2018,0.958286427,mangrove
106,2018,0.999386994,mangrove
110,2018,0.818915168,mangrove
111,2018,0.584633991,mangrove
112,2018,0.66606902,mangrove
113,2018,0.493129847,mangrove
114,2018,0.789850417,mangrove
115,2018,0.540704693,mangrove
116,2018,1,mangrove
117,2018,0.264621446,mangrove
120,2018,0.667452819,mangrove
122,2018,0.873250772,mangrove
125,2018,0.296017211,mangrove
126,2018,1,mangrove
129,2018,0.626644754,mangrove
130,2018,0.595022608,mangrove
131,2018,0.743192146,mangrove
132,2018,0.640648521,mangrove
133,2018,0.401981667,mangrove
134,2018,0.796584216,mangrove
135,2018,0.893062066,mangrove
136,2018,1,mangrove
137,2018,0.735595478,mangrove
138,2018,0.631265618,mangrove
139,2018,1,mangrove
140,2018,1,mangrove
147,2018,1,mangrove
151,2018,1,mangrove
152,2018,0.087325077,mangrove
154,2018,0,mangrove
155,2018,0.93146749,mangrove
162,2018,1,mangrove
163,2018,0.836733012,mangrove
164,2018,0.658553448,mangrove
166,2018,0.764094425,mangrove
167,2018,0.326269519,mangrove
168,2018,0.705434754,mangrove
169,2018,1,mangrove
171,2018,1,mangrove
190,2018,1,mangrove
191,2018,0.390581254,mangrove
193,2018,0.970067705,mangrove
194,2018,0.729070998,mangrove
195,2018,0.17638509,mangrove
196,2018,0.848775274,mangrove
197,2018,0.731989617,mangrove
198,2018,0.821695005,mangrove
199,2018,0.364654168,mangrove
200,2018,0.540426893,mangrove
202,2018,0.726176957,mangrove
203,2018,0.694878056,mangrove
204,2018,1,mangrove
205,2018,0.951851201,mangrove
206,2018,0.775431138,mangrove
207,2018,0.697562385,mangrove
208,2018,0.439064634,mangrove
209,2018,0.628918493,mangrove
210,2018,0.982407118,mangrove
212,2018,1,mangrove
214,2018,0.349300309,mangrove
216,2018,0.692030445,mangrove
231,2018,1,mangrove
237,2018,1,mangrove
245,2018,1,mangrove
247,2018,0.574257301,mangrove
250,2018,0.415833701,mangrove
5,2019,1,mangrove
6,2019,0.378408668,mangrove
7,2019,0.860238757,mangrove
8,2019,1,mangrove
9,2019,1,mangrove
11,2019,1,mangrove
14,2019,1,mangrove
15,2019,0.966200176,mangrove
16,2019,0.689077512,mangrove
17,2019,0.826303528,mangrove
18,2019,1,mangrove
24,2019,0.667385732,mangrove
26,2019,0.995581738,mangrove
28,2019,0.698600617,mangrove
29,2019,1,mangrove
31,2019,1,mangrove
35,2019,1,mangrove
37,2019,0.714285714,mangrove
39,2019,1,mangrove
40,2019,1,mangrove
41,2019,0.754358493,mangrove
42,2019,0.839379227,mangrove
43,2019,0.999369256,mangrove
44,2019,0.367684535,mangrove
45,2019,1,mangrove
46,2019,0.960575849,mangrove
47,2019,1,mangrove
48,2019,0.043662539,mangrove
49,2019,1,mangrove
50,2019,0.336825298,mangrove
52,2019,0.582167181,mangrove
53,2019,0.258431605,mangrove
54,2019,1,mangrove
64,2019,0.582167181,mangrove
65,2019,0.876972011,mangrove
66,2019,0.767840619,mangrove
96,2019,0.919074306,mangrove
97,2019,0.999940003,mangrove
98,2019,0,mangrove
99,2019,1,mangrove
100,2019,0.100423839,mangrove
102,2019,0.84830075,mangrove
103,2019,1,mangrove
104,2019,0.955015825,mangrove
106,2019,0.999386994,mangrove
110,2019,0.832499069,mangrove
111,2019,0.621636142,mangrove
112,2019,0.667693975,mangrove
113,2019,0.493129847,mangrove
114,2019,0.804568127,mangrove
115,2019,0.553397291,mangrove
116,2019,1,mangrove
117,2019,0.264621446,mangrove
120,2019,0.667452819,mangrove
122,2019,0.873250772,mangrove
123,2019,1,mangrove
125,2019,0.296017211,mangrove
126,2019,1,mangrove
129,2019,0.62280245,mangrove
130,2019,0.586758405,mangrove
131,2019,0.738124927,mangrove
132,2019,0.645213241,mangrove
133,2019,0.396255432,mangrove
134,2019,0.800324048,mangrove
135,2019,0.894848967,mangrove
136,2019,1,mangrove
137,2019,0.746349797,mangrove
138,2019,0.631265618,mangrove
139,2019,1,mangrove
140,2019,1,mangrove
147,2019,1,mangrove
151,2019,1,mangrove
152,2019,0.087325077,mangrove
154,2019,0,mangrove
155,2019,0.93146749,mangrove
162,2019,1,mangrove
163,2019,0.841178652,mangrove
164,2019,0.661890712,mangrove
166,2019,0.764094425,mangrove
167,2019,0.322431054,mangrove
168,2019,0.705434754,mangrove
169,2019,1,mangrove
171,2019,1,mangrove
190,2019,1,mangrove
191,2019,0.409633998,mangrove
193,2019,0.975446423,mangrove
194,2019,0.721190727,mangrove
195,2019,0.17638509,mangrove
196,2019,0.850610937,mangrove
197,2019,0.73327381,mangrove
198,2019,0.821695005,mangrove
199,2019,0.37013769,mangrove
200,2019,0.542074536,mangrove
202,2019,0.730773014,mangrove
203,2019,0.692120604,mangrove
204,2019,1,mangrove
205,2019,0.952480005,mangrove
206,2019,0.778281511,mangrove
207,2019,0.698535728,mangrove
208,2019,0.390279674,mangrove
209,2019,0.631475073,mangrove
210,2019,1,mangrove
212,2019,1,mangrove
214,2019,0.523950463,mangrove
216,2019,0.693423488,mangrove
231,2019,1,mangrove
237,2019,1,mangrove
245,2019,0.5,mangrove
247,2019,0.579003229,mangrove
250,2019,0.415833701,mangrove
5,2020,1,mangrove
6,2020,0.378408668,mangrove
7,2020,0.855901419,mangrove
8,2020,1,mangrove
9,2020,1,mangrove
11,2020,1,mangrove
14,2020,1,mangrove
15,2020,0.962943986,mangrove
16,2020,0.686082825,mangrove
17,2020,0.824220545,mangrove
18,2020,1,mangrove
24,2020,0.682705921,mangrove
26,2020,0.979381443,mangrove
28,2020,0.698600617,mangrove
29,2020,1,mangrove
31,2020,1,mangrove
35,2020,1,mangrove
37,2020,0.714285714,mangrove
39,2020,1,mangrove
40,2020,1,mangrove
41,2020,0.738737609,mangrove
42,2020,0.839114605,mangrove
43,2020,0.999369256,mangrove
44,2020,0.376876649,mangrove
45,2020,1,mangrove
46,2020,0.960575849,mangrove
47,2020,1,mangrove
48,2020,0.043662539,mangrove
49,2020,1,mangrove
50,2020,0.332666961,mangrove
52,2020,0.582167181,mangrove
53,2020,0.233373105,mangrove
54,2020,1,mangrove
64,2020,0.582167181,mangrove
65,2020,0.873250772,mangrove
66,2020,0.76629047,mangrove
96,2020,0.904494091,mangrove
97,2020,0.986366156,mangrove
98,2020,0,mangrove
99,2020,1,mangrove
100,2020,0.100423839,mangrove
102,2020,0.873250772,mangrove
103,2020,1,mangrove
104,2020,0.958286427,mangrove
106,2020,0.989684208,mangrove
110,2020,0.841716716,mangrove
111,2020,0.647537648,mangrove
112,2020,0.665744029,mangrove
113,2020,0.493129847,mangrove
114,2020,0.789850417,mangrove
115,2020,0.553397291,mangrove
116,2020,1,mangrove
117,2020,0.264621446,mangrove
120,2020,0.611831751,mangrove
122,2020,0.873250772,mangrove
123,2020,1,mangrove
125,2020,0.296017211,mangrove
126,2020,1,mangrove
129,2020,0.617912246,mangrove
130,2020,0.584003671,mangrove
131,2020,0.728835025,mangrove
132,2020,0.646999435,mangrove
133,2020,0.390529198,mangrove
134,2020,0.80406388,mangrove
135,2020,0.884982165,mangrove
136,2020,1,mangrove
137,2020,0.745489452,mangrove
138,2020,0.631265618,mangrove
139,2020,1,mangrove
140,2020,1,mangrove
147,2020,1,mangrove
151,2020,1,mangrove
152,2020,0.087325077,mangrove
154,2020,0,mangrove
155,2020,0.873250772,mangrove
162,2020,1,mangrove
163,2020,0.848482204,mangrove
164,2020,0.660778291,mangrove
166,2020,0.764094425,mangrove
167,2020,0.32339067,mangrove
168,2020,0.694044526,mangrove
169,2020,1,mangrove
171,2020,1,mangrove
190,2020,1,mangrove
191,2020,0.384230339,mangrove
193,2020,0.963739801,mangrove
194,2020,0.71856397,mangrove
195,2020,0.182168207,mangrove
196,2020,0.847726325,mangrove
197,2020,0.732631714,mangrove
198,2020,0.818098091,mangrove
199,2020,0.37013769,mangrove
200,2020,0.537131607,mangrove
202,2020,0.723878929,mangrove
203,2020,0.683331223,mangrove
204,2020,1,mangrove
205,2020,0.966628082,mangrove
206,2020,0.775301575,mangrove
207,2020,0.69691349,mangrove
208,2020,0.390279674,mangrove
209,2020,0.603352701,mangrove
210,2020,0.982407118,mangrove
212,2020,1,mangrove
214,2020,0.523950463,mangrove
216,2020,0.696750157,mangrove
231,2020,1,mangrove
237,2020,1,mangrove
245,2020,0.5,mangrove
247,2020,0.579003229,mangrove
250,2020,0.415833701,mangrove
25,2000,0.902731869,mangrove
25,2004,0.833242577,mangrove
25,2009,0.871463177,mangrove
25,2014,0.876905566,mangrove
25,2019,0.992857143,mangrove
